DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE LOCAL;ESTADO DE REINICIO DE OPERACIONES;HORARIO DE ATENCIÓN AL PUBLICO; DIRECCION 
LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;ORA CABALLOCOCHA;OPERATIVO;08:45 a 16:30;Calle Progreso N° 425
LORETO;MAYNAS;PUNCHANA;MAC - LORETO;OPERATIVO;08:30 a 16:30;Avenida La Marina Nº  1338
ANCASH;SANTA;CHIMBOTE;OR SANTA;OPERATIVO;08:45 a 16:45;Jirón Jr. Enrique Palacios Nº 504-506 esquina con Jr. Ladislao Espinar Nº 401
ANCASH;SANTA;NUEVO CHIMBOTE;AG NUEVO CHIMBOTE;OPERATIVO;08:45 a 16:45;- Mz. 74-75 Lt. 1 del Centro Cívico de la Municipalidad Distrital de Nuevo Chimbote 
ANCASH;HUARAZ;HUARAZ;AG HUARAZ;OPERATIVO;08:45 a 16:45;"Jirón José Larrea y Laredo N° 764,Mz. ""C"" Lote 6, Zona Central y Comercial - Huaraz"
ANCASH;HUAYLAS;CARAZ;AG HUAYLAS;OPERATIVO;08:45 a 16:45;Jirón Jr. Raimondi N° 215 - Caraz
ANCASH;HUARI;HUARI;AG HUARI;OPERATIVO;08:45 a 16:45;Jirón Libertad Mz P2 Lote 003
ANCASH;POMABAMBA;POMABAMBA;AG POMABAMBA;OPERATIVO;08:45 a 16:45;Jirón Huaraz No. 691 - Pomabamba
ANCASH;SIHUAS;SIHUAS;AG SIHUAS;OPERATIVO;08:45 a 16:45;Jirón Jr. Gomes Arias N° 104
ANCASH;CASMA;CASMA;PAP CASMA;OPERATIVO;08:45 a 16:45;- Lote 13, Manzana C,  Zona Centro Civico, Pasaje Hijuela 
ANCASH;HUARMEY;HUARMEY;PAP HUARMEY;OPERATIVO;08:45 a 16:45;- 1er. Pabellón de Centro Civico S/N - Huarmey
ANCASH;RECUAY;RECUAY;PAP RECUAY;OPERATIVO;08:45 a 16:45;Calle Plaza de Armas Nº 180 Municipalidad Distrital de Recuay
ANCASH;CARHUAZ;CARHUAZ;PAP CARHUAZ;OPERATIVO;08:45 a 16:45;Avenida La Merced Nº 1006  con Jirón Brasil Lote 7 de la Manzana  P1, Sector Independencia
ANCASH;YUNGAY;YUNGAY;PAP YUNGAY;OPERATIVO;08:45 a 16:45;Avenida Av. Arias Grazziani Lt 1-2 Centro Civico Municipalidad Provincial Yungay
ANCASH;CARLOS FERMIN FITZCARRALD;SAN LUÍS;PAP CARLOS FERMÍN FITZCARRALD;OPERATIVO;08:45 a 16:45;Avenida Ramón Castilla N° 320 - 1er. piso Centro Civico de la Municipalidad Provincial de Carlos Fermin Fitscarrald
ANCASH;MARISCAL LUZURIAGA;PISCOBAMBA;PAP MARISCAL LUZURIAGA;OPERATIVO;08:45 a 16:45;Jirón San Pablo S/N - Plaza de Armas de Piscobamba
ANCASH;SANTA;CHIMBOTE;ORA LA CALETA;OPERATIVO;08:45 a 16:30;Avenida Malecon Grau S/N La Caleta
ANCASH;SANTA;CHIMBOTE;ORA HOSPITAL ESSALUD III CHIMBOTE;OPERATIVO;08:45 a 16:30;Avenida Circunvalación Nº 119 Urb. Laderas del Norte
ANCASH;SANTA;CHIMBOTE;ORA MATERNIDAD DE MARÍA;OPERATIVO;08:45 a 16:30;Avenida Meiggs 2071 P. Joven Miraflores Alto
ANCASH;SANTA;NUEVO CHIMBOTE;ORA ELEAZAR GUZMÁN BARRÓN;OPERATIVO;08:45 a 16:30;Avenida Brasil S/N Urb. Santa Cristina
ANCASH;HUARAZ;HUARAZ;ORA VÍCTOR RAMOS GUARDIA;OPERATIVO;08:45 a 16:30;Avenida Mariscal Luzuriaga S/N Cdra 01 intercepción con Jr. Pedro Villon cdra 10
ANCASH;HUAYLAS;CARAZ;ORA HOSPITAL DE APOYO CARAZ;OPERATIVO;08:45 a 16:30;Avenida 9 de Octubre S/N
ANCASH;HUARI;HUARI;ORA HUARI;OPERATIVO;08:45 a 16:30;Avenida Circunvalación Baja S/N
ANCASH;PALLASCA;PAMPAS;AG PAMPAS;DESPLAZAMIENTO;08:45 a 16:45;Calle Plaza de Armas S/N - Municipalidad Distrital de Pampas - 1er piso
ANCASH;CORONGO;CORONGO;PANP CORONGO;DESPLAZAMIENTO;08:45 a 16:45;Jirón Jr. Grau N° 206, primer piso de la Municipalidad Provincial de Corongo
ANCASH;PALLASCA;CABANA;PANP PALLASCA;DESPLAZAMIENTO;08:45 a 16:45;Avenida Av. Plaza de Armas N° 103, primer piso de la Municipalidad Provincial de Pallasca
ANCASH;AIJA;AIJA;PANP AIJA;DESPLAZAMIENTO;08:45 a 16:45;Jirón Jr. Gavino Uribe S/N Plaza de Armas, 1er piso de la Municipalidad Provincial de Aija
ANCASH;BOLOGNESI;CHIQUIAN;PANP BOLOGNESI;DESPLAZAMIENTO;08:45 a 16:45;Jirón Jr. Tacna 320, primer piso del Centro Cívico de la Municipalidad Distrital de Chiquian
ANCASH;YUNGAY;YANAMA;AG YANAMA;DESPLAZAMIENTO;08:45 a 16:45;Jirón Jr. Gran Chavín 2da cuadra S/N
ANCASH;MARISCAL LUZURIAGA;LLUMPA;PANP LLUMPA;DESPLAZAMIENTO;08:45 a 16:45; Plaza de Armas S/N
ANCASH;ASUNCION;CHACAS;PANP ASUNCIÓN;DESPLAZAMIENTO;08:45 a 16:45;Jirón Jr. Atusparia S/N, esquina con Jr. Lima
ANCASH;HUARI;CHAVIN DE HUANTAR;PANP CHAVÍN DE HUANTAR;DESPLAZAMIENTO;08:45 a 16:45;Jirón Jr. San Martin S/N, 1er piso del Centro Cívico de la Municipalidad Distrital de Chavin de Huantar
ANCASH;HUARI;SAN MARCOS;PANP SAN MARCOS ;DESPLAZAMIENTO;08:45 a 16:45;Jirón Jr. Progreso 332, Plaza de Armas de San Marcos
ANCASH;HUACAYBAMBA;HUACAYBAMBA;PANP HUACAYBAMBA;DESPLAZAMIENTO;08:45 a 16:45;Avenida Av. El Ejercito S/N Barrio San Pedro, 1er piso Centro Civico de la Municipalidad Provincial de Huacaybamba
ANCASH;ANTONIO RAIMONDI;LLAMELLIN;PANP ANTONIO RAIMONDI;DESPLAZAMIENTO;08:45 a 16:45;Jirón Jr. Simón Bolívar N° 229
ANCASH;HUARI;UCO;PANP UCO;DESPLAZAMIENTO;08:45 a 16:45;Jirón Jr. Nicolas de Piérola S/N, Plaza de Armas, Municipalidad Distrital de Uco
JUNIN;SATIPO;PANGOA;PAP PANGOA;OPERATIVO;08:45 a 16:30;Calle 07 de Junio Nº 641 Plaza Principal Centro Civico
JUNIN;HUANCAYO;HUANCAYO;"ORA REGIONAL DOCENTE MATERNO INFANTIL ""EL CARMEN""";OPERATIVO;08:45 a 16:30;Jirón Puno Nº 911
JUNIN;SATIPO;MAZAMARI;PAP MAZAMARI;OPERATIVO;08:45 a 16:30;Avenida San Juan N° 353
JUNIN;HUANCAYO;EL TAMBO;OR HUANCAYO;OPERATIVO;08:45 a 16:45;Avenida Mariscal Castilla N° 1801 Cruce con Jr. Aguirre Morales - El Tambo
JUNIN;CONCEPCION;CONCEPCIÓN;PAP CONCEPCIÓN;OPERATIVO;08:45 a 16:30;Jirón Ricardo Palma S/N Mercado Modelo Interior 1 
JUNIN;JAUJA;JAUJA;PAP JAUJA;OPERATIVO;08:45 a 16:30;Jirón Sucre N° 889
JUNIN;JUNIN;JUNIN;PAP JUNIN;DESPLAZAMIENTO;08:45 a 16:30;Jirón Simón Bolivar N° 820
JUNIN;TARMA;TARMA;AG TARMA;OPERATIVO;08:45 a 16:45;Jirón Arequipa Nº 939
JUNIN;YAULI;SANTA ROSA DE SACCO;PAP YAULI;OPERATIVO;08:45 a 16:30;Avenida Miguel Grau N° 309
JUNIN;SATIPO;SATIPO;PAP SATIPO;OPERATIVO;08:45 a 16:45;Avenida Micaela Bastidas y Jr. Augusto B. Leguia Centro Civico 
