DEPARTAMENTO;PROVINCIA;DISTRITO;CENTRO DE ATENCION;ESTADO;HORARIOS DE ATENCIÓN; DIRECCIÓN 
LORETO;PUTUMAYO;PUTUMAYO;PAP PUTUMAYO;OPERATIVO;08:15 - 13:45  ;Arequipa S/N
LORETO;MAYNAS;IQUITOS;"ORA HOSPITAL IQUITOS "" CESAR GARCIA GARAYAR";OPERATIVO;08:15 - 13:45  ;Cornejo Portugal N° 1710
LORETO;MAYNAS;PUNCHANA;"ORA HOSPITAL DE LORETO "" FEPIPE ARRIOLA""";OPERATIVO;08:15 - 13:45  ;28 de Julio S/N
ANCASH;HUARAZ;HUARAZ;AG HUARAZ;OPERATIVO;08:45 - 16:45  ;José Larrea y Laredo N° 764
ANCASH;SANTA;NUEVO CHIMBOTE;AG NUEVO CHIMBOTE;OPERATIVO;08:45 - 16:45  ;Centro Civico Mz. 74-75 Lote 1 Urb. Buenos Aires
ANCASH;CASMA;CASMA;PAP CASMA;OPERATIVO;08:15 - 13:45  ;Lote 13, Manzana C, PVHU Zona Centro Civico sector Hijuela C
ANCASH;HUARMEY;HUARMEY;PAP HUARMEY;OPERATIVO;08:45 - 16:45  ;Centro Civico S/N
ANCASH;HUARI;HUARI;AG HUARI;OPERATIVO;08:45 - 16:45  ;Mariscal Luzuriaga N° 522 - Barrio San Bartolomé
ANCASH;HUAYLAS;CARAZ;AG HUAYLAS;OPERATIVO;08:45 - 16:45  ;Raymondi  215
ANCASH;POMABAMBA;POMABAMBA;AG POMABAMBA;OPERATIVO;08:15 - 13:45  ;Huaraz N° S/N Cuadra 6
ANCASH;SIHUAS;SIHUAS;AG SIHUAS;OPERATIVO;08:15 - 13:45  ;Señor de los Milagros Nº 211
ANCASH;RECUAY;RECUAY;PAP RECUAY;OPERATIVO;08:15 - 13:45  ;Plaza de Armas Nº 170 Tienda 4
ANCASH;SANTA;CHIMBOTE;OR SANTA;OPERATIVO;08:45 - 16:45  ;Esquina de Enrique Palacios N° 504, 506, 516 y 520 y Jr. Ladislao Espinar N° 401
ANCASH;MARISCAL LUZURIAGA;PISCOBAMBA;PAP MARISCAL LUZURIAGA;OPERATIVO;08:15 - 13:45  ;San Pablo S/N - Plaza de Armas de Piscobamba
ANCASH;CARLOS FERMIN FITZCARRALD;SAN LUÍS;PAP CARLOS FERMIN FITZCARRALD;OPERATIVO;08:15 - 13:45  ;Ramón Castilla N° 320 - San Luís
ANCASH;PALLASCA;PAMPAS;AG PAMPAS;OPERATIVO;08:15 - 13:45  ;Plaza de Armas S/N - Municipalidad Distrital de Pampas
ANCASH;YUNGAY;YUNGAY;PAP YUNGAY;OPERATIVO PARCIAL;08:15 - 13:45  ;Arias Grazziani S/N Plaza de Armas
ANCASH;CARHUAZ;CARHUAZ;PAP CARHUAZ;OPERATIVO;08:15 - 13:45  ;La Merced Nº 1006
ANCASH;SANTA;CHIMBOTE;ORA LA CALETA;OPERATIVO;08:15 - 13:45  ;Malecon Grau S/N La Caleta
ANCASH;SANTA;NUEVO CHIMBOTE;ORA ELEAZAR GUZMAN BARRON;OPERATIVO;08:15 - 13:45  ;Brasil S/N Urb. Santa Cristina
ANCASH;HUARAZ;HUARAZ;ORA VICTOR RAMOS GUARDIA;OPERATIVO;08:15 - 13:45  ;Mariscal Luzuriaga Cdra 01 intercepción con Jr. Pedro Villon cdra 10
ANCASH;HUAYLAS;CARAZ;ORA HOPSITAL APOYO CARAZ;OPERATIVO;08:15 - 13:45  ;Circunvalacion Norte S/N CARAZ
JUNIN;CHANCHAMAYO;CHANCHAMAYO;AG CHANCHAMAYO;OPERATIVO;08:45 - 16:45  ;Tarma Nº 236
JUNIN;HUANCAYO;EL TAMBO;OR HUANCAYO;OPERATIVO;08:45 - 16:45  ;Julio Summar N° 351
JUNIN;TARMA;TARMA;AG TARMA;OPERATIVO;08:45 - 16:45  ;Arequipa Nº 939
JUNIN;CHANCHAMAYO;PICHANAQUI;PAP PICHANAQUI;OPERATIVO;08:45 - 16:45  ;Independencia S/N Coliseo Municipal
JUNIN;CHUPACA;CHUPACA;PAP CHUPACA;OPERATIVO;08:45 - 16:45  ;Grau N° 195
JUNIN;JAUJA;JAUJA;PAP JAUJA;OPERATIVO;08:15 - 13:45  ;Sucre N° 889
JUNIN;SATIPO;SATIPO;PAP SATIPO;OPERATIVO;08:15 - 13:45  ;"Micaela Bastidas y Jr. Augusto B. Leguia y forma parte del denominado Centro Civico "" Ruben Rocha Mariños"""
JUNIN;YAULI;SANTA ROSA DE SACCO;PAP YAULI;OPERATIVO;08:15 - 13:45  ;Miguel Grau N° 309
JUNIN;SATIPO;PANGOA;PAP PANGOA;OPERATIVO;08:15 - 13:45  ;07 de Junio Nº 641 Plaza Principal Centro Civico
JUNIN;SATIPO;MAZAMARI;PAP MAZAMARI;OPERATIVO;08:15 - 13:45  ;San Juan N° 377
JUNIN;JUNIN;JUNIN;PAP JUNIN;OPERATIVO;08:15 - 13:45  ;Simón Bolivar N° 820
JUNIN;CONCEPCION;CONCEPCIÓN;PAP CONCEPCIÓN;OPERATIVO;08:15 - 13:45  ;Ricardo Palma S/N Mercado Central Interior 1  Concepción 
JUNIN;HUANCAYO;HUANCAYO;ORA  MATERNO INFANTIL EL CARMEN;OPERATIVO;08:15 - 13:45  ;Puno Nº 911
JUNIN;JAUJA;JAUJA;ORA HOSPITAL DOMINGO OLAVEGOYA;OPERATIVO;08:15 - 13:45  ;Jr San Martin 1153
JUNIN;CHANCHAMAYO;PICHANAQUI;ORA HOSPITAL DE APOYO PICHANAKI;OPERATIVO;08:15 - 13:45  ;San Martin S/N
JUNIN;CHANCHAMAYO;CHANCHAMAYO;HOPITAL REGIONAL DOC. JULIO DEMARINI;OPERATIVO;08:15 - 13:45  ;Daniel A. Carrion 
JUNIN;TARMA;TARMA;ORA DE APOYO FELIX MAYORCA SOTO;OPERATIVO;08:15 - 13:45  ;Puno Nº 911
APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;OR ANDAHUAYLAS;OPERATIVO;08:45 - 16:45  ;Jr. Amauta N° 311 – Talavera
AYACUCHO;HUAMANGA;AYACUCHO;OR HUAMANGA;OPERATIVO;08:45 - 16:45  ;San Martin Nºs 473, 475, 477 y 477A
AYACUCHO;HUANTA;HUANTA;AG HUANTA;OPERATIVO;08:45 - 16:45  ;Ayacucho N° 313 
APURIMAC;CHINCHEROS;CHINCHEROS;PAP CHINCHEROS;OPERATIVO;08:45 - 16:45  ;Cotabambas Nº 121
CUSCO;LA CONVENCION;PICHARI;PAP PICHARI;OPERATIVO;08:45 - 16:45  ;La Cultura S/N con Jr.Las Malvinas
AYACUCHO;CANGALLO;CANGALLO;PAP CANGALLO;OPERATIVO;08:15 - 13:45  ;Maria Parado de Bellido Nº 205
AYACUCHO;LA MAR;AYNA;PAP AYNA -SAN FRANCISCO;OPERATIVO;08:15 - 13:45  ;28 de Julio S/N San Francisco
AYACUCHO;VICTOR FAJARDO;HUANCAPI;PAP VICTOR FAJARDO;OPERATIVO;08:15 - 13:45  ;Principal Nº 127
AYACUCHO;LA MAR;SAN MIGUEL;PAP LA MAR;OPERATIVO;08:15 - 13:45  ;Jr. Bolognesi 364
AYACUCHO;VILCAS HUAMAN;VILCAS HUAMAN;PAP VILCASHUAMAN;OPERATIVO;08:15 - 13:45  ;Los Incas N° 318
AYACUCHO;LA MAR;SAMUGARI - PALMAPAMPA;PAP SAMUGARI -PALMAPAMPA;OPERATIVO;08:15 - 13:45  ;Los Laureles S/N Parque Principal
AYACUCHO;SUCRE;QUEROBAMBA;PAP SUCRE;OPERATIVO;08:15 - 13:45  ;Bolívar S/N  Plaza de Armas Consejo Provincial de SUCRE
AYACUCHO;HUANCASANCOS;SANCOS;PAP HUANCASANCOS;OPERATIVO;08:15 - 13:45  ;Ananias Sumaris S/N Sancos
AYACUCHO;HUAMANGA;AYACUCHO;HOSPITAL REGIONAL DE AYACUCHO;OPERATIVO;08:15 - 13:45  ; Independencia N° 355
AYACUCHO;HUANTA;HUANTA;HOSPITAL DE APOYO HUANTA;OPERATIVO;08:15 - 13:45  ;Mariscal Castilla Nº 628
AYACUCHO;HUAMANGA;JESUS NAZARENO;HOSPITAL DE APOYO JESUS NAZARENO;OPERATIVO;08:15 - 13:45  ;Ciro Alegría 547
APURÍMAC;ANDAHUAYLAS;ANDAHUAYLAS;HOSPITAL DOCENTE HUGO PESCE PESCETTO ANDAHUAYLAS;OPERATIVO;08:15 - 13:45  ;Hugo Pesce Nº 180
AYACUCHO;CAMGALLO;LOS MOROCHUCOS;PAMPA CANGALLO;OPERATIVO;08:15 - 13:45  ;José Maria Arguedas S/N
CUSCO;LA CONVENCION;KIMBIRI;ORA SAN JUAN DE KIMBIRI - VRAEM;OPERATIVO;08:15 - 13:45  ;AVENIDA AEROPUERTOS/Nº / KIMBIRI / LA CONVENCIÓN / CUSCO
AREQUIPA;AREQUIPA;CAYMA;AG CAYMA;OPERATIVO;08:15 - 13:45  ;Mariscal Castilla N° 223
AREQUIPA;AREQUIPA;AREQUIPA;OR AREQUIPA;OPERATIVO;08:45 - 16:45  ;San Juan de Dios N° 120 y 122 y Santo Domingo N° 101 y 103
AREQUIPA;CAYLLOMA;MAJES;AG MAJES;OPERATIVO;08:45 - 16:45  ;Arequipa S/N - Tienda 06 del Estadio Almirante Miguel Grau - Pedregal
TACNA;TACNA;TACNA;AG TACNA;OPERATIVO;08:45 - 16:45  ;Federico Barreto S/N 
MOQUEGUA;MARISCAL NIETO;MOQUEGUA;AG MARISCAL NIETO;OPERATIVO;08:45 - 16:45  ;Lima Nº 676
MOQUEGUA;ILO;ILO;AG ILO;OPERATIVO;08:45 - 16:45  ;Ayacucho N° 529
AREQUIPA;ISLAY;MOLLENDO;AG ISLAY;OPERATIVO;08:45 - 16:45  ;Arequipa Nº 261 
AREQUIPA;CAMANA;CAMANA;AG CAMANA;OPERATIVO;08:15 - 13:45  ;Mariscal Castilla N° 223
AREQUIPA;LA UNION;COTAHUASI;PAP LA UNION;OPERATIVO;08:15 - 13:45  ;Centenario N° 202 - Cotahuasi
AREQUIPA;CAYLLOMA;CHIVAY;PAP CAYLLOMA;OPERATIVO;08:15 - 13:45  ;Siglo XX S/N
AREQUIPA;CARAVELI;CARAVELÍ;PAP CARAVELI;OPERATIVO;08:15 - 13:45  ;Bolivar S/N
AREQUIPA;CONDESUYOS;CHUQUIBAMBA;PAP CONDESUYOS;OPERATIVO;08:15 - 13:45  ;Alameda S/N - Los tres Errantes
AREQUIPA;CASTILLA;APLAO;PAP CASTILLA;OPERATIVO;08:15 - 13:45  ;Progreso S/N
AREQUIPA;CAMANA;CAMANA;ORA HOSPITAL DE APOYO CAMANA;OPERATIVO;08:15 - 13:45  ;Av. Lima 550
AREQUIPA;MARISCAL NIETO;MOQUEGUA;ORA HOSPITAL REGIONAL DE MOQUEGUA;OPERATIVO;08:15 - 13:45  ;Av. San Antonio Norte S/N
AREQUIPA;TACNA;TACNA;ORA HOSPITAL HIPOLITO UNANUE;OPERATIVO;08:15 - 13:45  ;Federico Barreto S/N 
AREQUIPA;AREQUIPA;PAUCARPATA;MAC AREQUIPA;OPERATIVO;Lun a Vie 08:00 - 16:45  Sab 08:00 - 13:45 ;Calla Yavari S/N
APURIMAC;COTABAMBAS;TAMBOBAMBA;PAP TAMBOBAMBA;OPERATIVO;08:15 - 13:45  ;Plaza de Armas S/N
MADRE DE DIOS;TAHUAMANU;IBERIA;AG IBERIA;OPERATIVO;08:15 - 13:45  ;Maximiliano Rodriguez N° 124 Plaza de Armas
CUSCO;PAUCARTAMBO;PAUCARTAMBO;PAP PAUCARTAMBO - JR9;OPERATIVO;08:15 - 13:45  ;Enrique Yabar S/N
MADRE DE DIOS;TAMBOPATA;TAMBOPATA;OR TAMBOPATA;OPERATIVO;08:45 - 16:45  ;Lambayeque N° 159
CUSCO;LA CONVENCION;SANTA ANA;AG LA CONVENCION;OPERATIVO;08:45 - 16:45  ;Miguel Grau Nº 238
CUSCO;CANCHIS;SICUANI;AG CANCHIS;OPERATIVO;08:45 - 16:45  ;28 de Julio Nº 317
APURIMAC;ABANCAY;ABANCAY;OR ABANCAY;OPERATIVO;08:45 - 16:45  ;Unión N° 227
CUSCO;QUISPICANCHI;URCOS;PAP QUISPICANCHI;OPERATIVO;08:45 - 16:45  ;Huascar N° 181
CUSCO;ESPINAR;ESPINAR;PAP ESPINAR;OPERATIVO;08:45 - 16:45  ;Teatro S/N  
CUSCO;CALCA;CALCA;AG CALCA;OPERATIVO;08:45 - 16:45  ;Plaza de Armas S/N
CUSCO;CUSCO;CUSCO;OR CUSCO;OPERATIVO;08:45 - 16:45  ;El Sol N° 272
MADRE DE DIOS;MANU;MANU;PANP MANU;OPERATIVO PARCIAL;08:15 - 13:45  ;Plaza de Armas S/N - Local Municipal
CUSCO;PARURO;PARURO;PANP PARURO;OPERATIVO PARCIAL;08:15 - 13:45  ;Plaza de Armas S/N - Local Municipal
CUSCO;CHUMBIVILCAS;SANTO TOMAS;PAP CHUMBIVILCAS;OPERATIVO;08:15 - 13:45  ;02 de Mayo Nº 303 Parque Paliza
APURIMAC;GRAU;CHUQUIBAMBILLA;PANP GRAU;OPERATIVO PARCIAL;08:15 - 13:45  ;Grau S/N
CUSCO;URUBAMBA;URUBAMBA;PAP URUBAMBA;OPERATIVO;08:15 - 13:45  ;Ferrocarril S/N
CUSCO;ANTA;ANTA ;PAP ANTA;OPERATIVO;08:15 - 13:45  ;Jaquijahuana S/N
APURIMAC;COTABAMBAS;HAQUIRA;PAP HAQUIRA;OPERATIVO;08:15 - 13:45  ;Plaza de Armas Local Municipal
